Player,Value
Aaron Rodgers,65
Jared Goff,64
Justin Herbert,60
Jordan Love,57
Drake Maye,55
Russell Wilson,52
Josh Allen,51
Jalen Hurts,51
J.J. McCarthy,50
Michael Penix Jr.,50
Patrick Mahomes,49
Tua Tagovailoa,47
Kyler Murray,45
Brock Purdy,45
Daniel Jones,44
Sam Darnold,43
Jake Browning,42
Mac Jones,42
Bo Nix,42
Lamar Jackson,41
Matthew Stafford,40
Bryce Young,40
Trevor Lawrence,40
Spencer Rattler,39
Geno Smith,38
C.J. Stroud,37
Caleb Williams,37
Jayden Daniels,34
Justin Fields,33
Dak Prescott,33
Mitchell Trubisky,32
Baker Mayfield,30
Cam Ward,29
Joe Flacco,26
Joe Burrow,25
Tyson Bagent,22
Tyrod Taylor,14
Zach Wilson,11
Dillon Gabriel,8
Mason Rudolph,6
Tory Horton,0
Aireontae Ersery,0
Robert Hunt,0
Gardner Minshew II,0
Davante Adams,0
Ben VanSumeren,0
PJ Jules,0
Grant Calcaterra,0
Jordan Morgan,0
Nick Mullens,0
Devin Culp,0
AJ Cole,0
Johnathan Edwards,0
Jonas Sanker,0
Ben Bredeson,0
Michael Carter II,0
George Kittle,0
Jaycee Horn,0
Kenny Moore II,0
Mason McCormick,0
Tommy Eichenberg,0
Jahdae Barron,0
JuJu Smith-Schuster,0
Smael Mondon Jr.,0
Jamel Dean,0
Kylen Granson,0
Austin Johnson,0
Isaiah Adams,0
Tim Jones,0
Quincy Riley,0
Braxton Berrios,0
Gunner Olszewski,0
Bryce Cabeldue,0
Cody Simon,0
Shy Tuttle,0
DaQuan Jones,0
Carson Schwesinger,0
Tyler Biadasz,0
Jake Hummel,0
Will Hernandez,0
JuJu Brents,0
Xavier Thomas,0
Tershawn Wharton,0
Minkah Fitzpatrick,0
KT Leveston,0
Emeka Egbuka,0
Ko Kieft,0
Jon Rhattigan,0
Miles Killebrew,0
Odafe Oweh,0
Jonah Savaiinaea,0
Arnold Ebiketie,0
Tahj Washington,0
Kingsley Eguakun,0
Graham Glasgow,0
Hassan Haskins,0
Jaleel McLaughlin,0
Ben Brown,0
RJ Harvey,0
Alex Anzalone,0
