Player,Value
Jaylen Warren,65
Jameson Williams,64
Quentin Johnston,60
Tucker Kraft,57
Rhamondre Stevenson,55
Darius Slayton,52
Jahan Dotson,51
James Cook,51
Bijan Robinson,50
Justin Jefferson,50
Wan'Dale Robinson,50
Tyquan Thornton,49
Hollywood Brown,49
Malik Nabers,48
Romeo Doubs,48
Tyreek Hill,47
Marvin Harrison Jr.,45
Ricky Pearsall,45
Alec Pierce,44
Jaxon Smith-Njigba,43
Jonathan Taylor,43
Jauan Jennings,42
Troy Franklin,42
Tee Higgins,42
DeAndre Hopkins,41
Tyler Warren,41
Jordan Whittington,40
Parker Washington,40
Tetairoa McMillan,40
Zay Flowers,39
Rashid Shaheed,39
Brock Bowers,38
Rome Odunze,37
Woody Marks,37
Malik Heath,37
Travis Kelce,37
Dont'e Thornton Jr.,36
Xavier Smith,36
Chris Moore,34
Amon-Ra St. Brown,34
Tyler Conklin,33
CeeDee Lamb,33
Garrett Wilson,33
Breece Hall,33
Davante Adams,33
Sam LaPorta,32
Joshua Palmer,32
DK Metcalf,31
Cole Kmet,31
Trey McBride,31
Elijah Moore,31
DJ Moore,30
Calvin Austin III,30
Emeka Egbuka,30
Jackson Hawes,29
De'Von Achane,29
Tony Pollard,29
Isaac TeSlaa,29
Nico Collins,29
Jayden Higgins,28
Tre Tucker,28
DeVonta Smith,28
Jalen Nailor,28
George Pickens,27
Aaron Jones,27
Hunter Henry,27
Nick Chubb,27
Elijah Higgins,27
Michael Pittman Jr.,27
Chuba Hubbard,27
Jerry Jeudy,26
Calvin Ridley,26
Jayden Reed,26
Brycen Tremayne,26
Khalil Shakir,26
Kyle Juszczyk,25
Ja'Marr Chase,25
Keenan Allen,25
Jakobi Meyers,25
Puka Nacua,25
Cedric Tillman,25
Keon Coleman,25
Christian McCaffrey,25
Noah Fant,25
Kayshon Boutte,24
Ray-Ray McCloud III,24
Elijah Arroyo,24
Brenton Strange,24
Tre Harris,24
Devontez Walker,24
Bhayshul Tuten,24
Tyler Johnson,24
Ladd McConkey,23
Luke Musgrave,23
David Njoku,23
Xavier Hutchinson,23
Elic Ayomanor,23
Dyami Brown,23
Jack Bech,23
Marvin Mims Jr.,23
