Player,Value
Travis Etienne Jr.,71
Jonathan Taylor,68
Trey Benson,52
RJ Harvey,50
Miles Sanders,49
Derrick Henry,49
Puka Nacua,45
James Cook,44
Jacory Croskey-Merritt,42
Jahmyr Gibbs,42
Josh Allen,40
Quinshon Judkins,31
Javonte Williams,30
Kyler Murray,30
Justin Fields,27
De'Von Achane,26
Nick Chubb,25
Bijan Robinson,25
Cam Skattebo,24
J.K. Dobbins,23
Bryce Young,22
Patrick Mahomes,22
Rhamondre Stevenson,21
D'Andre Swift,20
Kenneth Walker III,20
Will Shipley,20
Baker Mayfield,20
Justin Herbert,19
Jordan Mason,19
C.J. Stroud,19
Deebo Samuel,19
Lamar Jackson,19
David Montgomery,18
Breece Hall,18
Bo Nix,18
Malik Washington,18
Alvin Kamara,18
Tyler Allgeier,17
Ty Johnson,17
Ollie Gordon II,16
Saquon Barkley,16
J.J. McCarthy,16
Rachaad White,16
Savion Williams,16
Tyrod Taylor,15
Josh Jacobs,15
Blake Corum,15
Ashton Dulin,15
Russell Wilson,15
Kyren Williams,15
Geno Smith,15
Omarion Hampton,15
Isaiah Davis,15
Antonio Gibson,15
Jalen Hurts,15
Jayden Daniels,14
Chuba Hubbard,14
TreVeyon Henderson,14
Dak Prescott,14
Jordan Love,14
Caleb Williams,13
Ashton Jeanty,13
Drake Maye,13
Jeremy McNichols,13
Kenneth Gainwell,13
Mac Jones,13
Christian McCaffrey,13
DJ Giddens,12
Spencer Rattler,12
Michael Penix Jr.,12
James Conner,12
Kareem Hunt,11
Troy Franklin,11
Daniel Jones,11
Elijah Moore,11
Chase Brown,11
Kendre Miller,10
Isiah Pacheco,10
Kyle Monangai,10
Trevor Lawrence,10
Tony Pollard,10
Bucky Irving,10
Tyrone Tracy Jr.,9
Dyami Brown,9
Kalif Raymond,9
Brian Robinson Jr.,9
Emeka Egbuka,9
Sam Darnold,9
Aaron Jones,9
LeQuint Allen,9
Brian Thomas Jr.,9
Brock Purdy,9
Rico Dowdle,9
Jaylen Warren,9
Isaiah Bond,9
Bhayshul Tuten,9
Olamide Zaccheaus,9
A.J. Dillon,9
Matthew Golden,9
Chimere Dike,9
