Player,Value
Josh Allen,99
Joe Flacco,90
Bryce Young,90
Tua Tagovailoa,89
Dak Prescott,86
Spencer Rattler,80
Russell Wilson,78
Geno Smith,77
Trevor Lawrence,73
Jayden Daniels,72
Bo Nix,70
Baker Mayfield,70
Drake Maye,69
Patrick Mahomes,68
Jared Goff,67
Caleb Williams,65
Aaron Rodgers,63
Michael Penix Jr.,63
Daniel Jones,63
Matthew Stafford,62
Justin Herbert,61
Cam Ward,61
Sam Darnold,56
Kyler Murray,54
Jordan Love,53
C.J. Stroud,51
Lamar Jackson,48
Jalen Hurts,45
J.J. McCarthy,41
Mac Jones,39
Joe Burrow,36
Brock Purdy,35
Justin Fields,33
Jake Browning,32
Tyrod Taylor,11
Zach Wilson,8
Tyson Bagent,3
Dillon Gabriel,3
Mitchell Trubisky,2
Mason Rudolph,2
Ladd McConkey,0
Grant Calcaterra,0
Emeka Egbuka,0
Austin Johnson,0
Jonah Savaiinaea,0
JuJu Smith-Schuster,0
Gunner Olszewski,0
Braxton Berrios,0
Jamel Dean,0
JL Skinner,0
Michael Carter II,0
Aireontae Ersery,0
McKinnley Jackson,0
Kenny Moore II,0
DaQuan Jones,0
PJ Jules,0
JuJu Brents,0
Will Hernandez,0
Shy Tuttle,0
Joey Porter Jr.,0
Kylen Granson,0
Tyler Biadasz,0
Tim Jones,0
Jonas Sanker,0
Odafe Oweh,0
KT Leveston,0
Miles Killebrew,0
Minkah Fitzpatrick,0
Kingsley Eguakun,0
Jordan Whittington,0
Ko Kieft,0
Jacob Bobenmoyer,0
Jake Hummel,0
Smael Mondon Jr.,0
Xavier Thomas,0
Ben VanSumeren,0
Davante Adams,0
Isaiah Adams,0
Devin Culp,0
Nick Mullens,0
Robert Hunt,0
Luke Musgrave,0
Jon Rhattigan,0
Cody Simon,0
Paris Johnson Jr.,0
Arnold Ebiketie,0
Carson Schwesinger,0
Jaycee Horn,0
Johnathan Edwards,0
George Kittle,0
AJ Cole,0
Tommy Eichenberg,0
George Pickens,0
Gardner Minshew II,0
Ben Bredeson,0
Stefon Diggs,0
LeQuint Allen,0
Evan Brown,0
Jacob Saylors,0
Tyler Conklin,0
