Player,Value
Josh Allen,69
Tua Tagovailoa,62
Dak Prescott,59
Joe Flacco,56
Jared Goff,54
Bryce Young,53
Spencer Rattler,52
Drake Maye,49
Geno Smith,48
Bo Nix,47
Russell Wilson,47
Daniel Jones,45
Justin Herbert,44
Matthew Stafford,44
Jayden Daniels,43
Trevor Lawrence,43
Baker Mayfield,42
Michael Penix Jr.,40
Aaron Rodgers,40
Caleb Williams,40
Patrick Mahomes,40
Kyler Murray,38
Sam Darnold,38
Jordan Love,35
Jalen Hurts,34
Lamar Jackson,33
C.J. Stroud,32
Cam Ward,31
Brock Purdy,26
Mac Jones,26
J.J. McCarthy,24
Jake Browning,21
Joe Burrow,21
Justin Fields,19
Tyrod Taylor,7
Zach Wilson,5
Dillon Gabriel,3
Tyson Bagent,2
Mason Rudolph,2
Mitchell Trubisky,1
Shy Tuttle,0
Corey Levin,0
Dennis Gardeck,0
Kendrick Green,0
Tyler Biadasz,0
Xavier Smith,0
Mo Alie-Cox,0
Mason McCormick,0
Smael Mondon Jr.,0
Jahdae Barron,0
Isaiah Adams,0
Minkah Fitzpatrick,0
KT Leveston,0
Jonathan Bullard,0
Tyrell Shavers,0
Ko Kieft,0
Jeremy McNichols,0
Karl Brooks,0
Joshua Palmer,0
Quincy Riley,0
Cody Simon,0
Trikweze Bridges,0
Bryce Cabeldue,0
Carson Schwesinger,0
Robert Hunt,0
Mack Hollins,0
Logan Hall,0
A.J. Brown,0
Tershawn Wharton,0
Emeka Egbuka,0
Jonah Savaiinaea,0
AJ Cole,0
Johnathan Edwards,0
Scott Daly,0
Nik Bonitto,0
Travis Etienne Jr.,0
Ben Bredeson,0
Jacob Martin,0
Austin Ajiake,0
DeAngelo Malone,0
Tahj Washington,0
Aireontae Ersery,0
Tory Horton,0
PJ Jules,0
JuJu Smith-Schuster,0
Jacoby Brissett,0
Jonathon Cooper,0
Jamel Dean,0
Zach Cunningham,0
Tyler Lacy,0
Chase Young,0
Jordan Morgan,0
Nick Kallerup,0
Jonas Sanker,0
JJ Jansen,0
Carlos Washington Jr.,0
Max Brosmer,0
Javon Bullard,0
Kai Kroeger,0
Azareye'h Thomas,0
