Player,Value
Malik Nabers,25
CeeDee Lamb,24
Chris Olave,23
De'Von Achane,23
Jaxon Smith-Njigba,23
Tyreek Hill,23
Jakobi Meyers,22
Davante Adams,21
Ja'Marr Chase,21
Hollywood Brown,21
Puka Nacua,20
Rome Odunze,20
Zay Flowers,20
Juwan Johnson,20
Brian Thomas Jr.,19
Tetairoa McMillan,19
Drake London,19
Mike Evans,19
Wan'Dale Robinson,18
Deebo Samuel,18
Keon Coleman,18
Jake Ferguson,18
Amon-Ra St. Brown,17
Christian McCaffrey,17
Garrett Wilson,17
Keenan Allen,17
Jaylen Waddle,17
Tyler Warren,16
Jerry Jeudy,16
Dalton Kincaid,16
Brock Bowers,16
Trey McBride,16
Khalil Shakir,15
Jauan Jennings,15
Hunter Renfrow,15
Xavier Legette,15
Cedric Tillman,15
Troy Franklin,15
Calvin Ridley,14
Harold Fannin Jr.,14
Nico Collins,14
Travis Hunter,14
Ladd McConkey,14
Rashid Shaheed,14
Quentin Johnston,14
Emeka Egbuka,13
Joshua Palmer,13
Ricky Pearsall,13
Justin Jefferson,13
Kyle Pitts,13
Zach Ertz,13
Terry McLaurin,13
Jahmyr Gibbs,13
George Pickens,13
Courtland Sutton,13
Sam LaPorta,13
Elic Ayomanor,13
DK Metcalf,13
Michael Pittman Jr.,13
Ja'Tavion Sanders,12
Tee Higgins,12
Cooper Kupp,12
Malik Washington,12
Olamide Zaccheaus,12
Stefon Diggs,12
Bijan Robinson,12
Hunter Henry,11
Dylan Sampson,11
DJ Moore,11
Chuba Hubbard,11
Josh Downs,11
Dyami Brown,11
David Njoku,11
Marvin Harrison Jr.,11
Tre Tucker,11
Tucker Kraft,11
Chig Okonkwo,10
Travis Kelce,10
Tyrone Tracy Jr.,10
Bucky Irving,10
Sterling Shepard,10
Calvin Austin III,10
Javonte Williams,10
Jonnu Smith,10
A.J. Brown,9
Romeo Doubs,9
Brenton Strange,9
Kenneth Gainwell,9
DeVonta Smith,9
Noah Fant,9
Kayshon Boutte,9
Tyquan Thornton,9
Dalton Schultz,9
James Cook,9
Jameson Williams,9
Dont'e Thornton Jr.,8
Rhamondre Stevenson,8
TreVeyon Henderson,8
Jalen Nailor,8
Rashod Bateman,8
