Player,Value
Josh Allen,869
Russell Wilson,685
Justin Herbert,623
Daniel Jones,616
Tua Tagovailoa,592
Geno Smith,572
Dak Prescott,569
Patrick Mahomes,568
Jared Goff,564
Drake Maye,559
Matthew Stafford,535
Bryce Young,524
Jayden Daniels,518
Lamar Jackson,517
Joe Flacco,503
Caleb Williams,502
Jordan Love,496
Trevor Lawrence,465
Spencer Rattler,464
Sam Darnold,459
C.J. Stroud,454
Baker Mayfield,454
Michael Penix Jr.,453
Kyler Murray,453
Aaron Rodgers,449
Bo Nix,420
J.J. McCarthy,351
Justin Fields,342
Jalen Hurts,330
Cam Ward,295
Brock Purdy,294
Mac Jones,285
James Cook,284
Jake Browning,242
Jonathan Taylor,236
Travis Etienne Jr.,214
Joe Burrow,192
Derrick Henry,192
Bijan Robinson,167
Tony Pollard,152
Javonte Williams,151
Josh Jacobs,150
Saquon Barkley,148
De'Von Achane,147
Alvin Kamara,144
J.K. Dobbins,139
Breece Hall,136
Kyren Williams,132
Kenneth Walker III,125
Christian McCaffrey,124
D'Andre Swift,116
Jahmyr Gibbs,113
Bucky Irving,108
Nick Chubb,103
Tyler Allgeier,100
Jacory Croskey-Merritt,99
Jordan Mason,98
Chuba Hubbard,95
Chase Brown,90
Jaylen Warren,85
Trey Benson,83
David Montgomery,82
Ashton Jeanty,81
Rachaad White,79
RJ Harvey,78
Tyrod Taylor,77
James Conner,73
Omarion Hampton,72
Rhamondre Stevenson,69
Miles Sanders,68
Quinshon Judkins,61
Zach Charbonnet,57
Bhayshul Tuten,53
Brian Robinson Jr.,53
Malik Washington,52
Ollie Gordon II,50
Kareem Hunt,47
Isiah Pacheco,47
Blake Corum,46
Puka Nacua,46
Aaron Jones,46
Ty Johnson,43
Austin Ekeler,43
Cam Skattebo,42
DJ Giddens,41
Tyrone Tracy Jr.,39
Jerome Ford,39
Kenneth Gainwell,39
TreVeyon Henderson,37
Dylan Sampson,35
Zach Wilson,35
Tyson Bagent,34
Najee Harris,33
Kendre Miller,32
Antonio Gibson,30
Mitchell Trubisky,29
A.J. Dillon,29
Kyle Monangai,28
Will Shipley,26
Ray Davis,26
