Player,Value
Josh Allen,755
Russell Wilson,618
Daniel Jones,588
Tua Tagovailoa,575
Justin Herbert,560
Jared Goff,559
Dak Prescott,549
Matthew Stafford,543
Geno Smith,542
Drake Maye,517
Joe Flacco,489
Bryce Young,482
Jordan Love,480
Trevor Lawrence,449
Aaron Rodgers,447
Patrick Mahomes,445
Sam Darnold,445
Lamar Jackson,434
Jayden Daniels,433
Michael Penix Jr.,433
Spencer Rattler,421
Caleb Williams,417
C.J. Stroud,395
Kyler Murray,383
Bo Nix,382
Baker Mayfield,382
J.J. McCarthy,301
Cam Ward,287
Mac Jones,279
Brock Purdy,277
Jalen Hurts,253
Justin Fields,245
Jake Browning,241
Joe Burrow,189
Tyrod Taylor,56
Mitchell Trubisky,32
Zach Wilson,32
Tyson Bagent,27
Dillon Gabriel,19
Mason Rudolph,12
Ben Bredeson,0
Isaiah Adams,0
Devaughn Vele,0
Tank Bigsby,0
Austin Johnson,0
JuJu Smith-Schuster,0
Tyler Lacy,0
Braxton Berrios,0
Cody Simon,0
Jamel Dean,0
Nick Kallerup,0
Carson Schwesinger,0
DaQuan Jones,0
Rashid Shaheed,0
Jordan Colbert,0
Theo Johnson,0
Dennis Gardeck,0
Will Hernandez,0
Shy Tuttle,0
Xavier Smith,0
Emeka Egbuka,0
Tyler Biadasz,0
Rex Sunahara,0
Jonah Savaiinaea,0
Jamari Thrash,0
Davis Mills,0
Jared Ivey,0
Miles Killebrew,0
Minkah Fitzpatrick,0
Karl Brooks,0
Aireontae Ersery,0
Ko Kieft,0
Trikweze Bridges,0
PJ Jules,0
Calvin Austin III,0
Wanya Morris,0
Davante Adams,0
Tyrice Knight,0
Logan Hall,0
Nick Mullens,0
Robert Hunt,0
Jonas Sanker,0
Malcolm Koonce,0
Swayze Bozeman,0
Joey Blount,0
Jaylin Lane,0
Nik Bonitto,0
George Kittle,0
AJ Cole,0
Austin Ajiake,0
Smael Mondon Jr.,0
Will Anderson Jr.,0
Stefon Diggs,0
Evan Brown,0
Daniel Bellinger,0
Tavius Robinson,0
Tyler Conklin,0
Davis Allen,0
Charles Woods,0
Omar Speights,0
