Player,Value
Spencer Shrader,32
Matt Prater,30
Joey Slye,25
Brandon Aubrey,24
Cam Little,23
Tyler Loop,21
Chris Boswell,19
Graham Gano,19
Brandon McManus,18
Chad Ryland,17
Daniel Carlson,17
Cameron Dicker,17
Jake Bates,17
John Parker Romo,16
Ka'imi Fairbairn,16
Andy Borregales,14
Harrison Butker,14
Jason Myers,14
Jake Elliott,14
Will Reichard,13
Evan McPherson,12
Wil Lutz,12
Riley Patterson,12
Nick Folk,12
Joshua Karty,11
Blake Grupe,10
Cairo Santos,9
Andre Szmyt,9
Ryan Fitzgerald,8
Younghoe Koo,8
Eddy Pineiro,8
Matt Gay,7
Chase McLaughlin,7
Jake Moody,5
Teagan Quitoriano,0
Malik Nabers,0
Jack Conklin,0
Tahj Washington,0
Jordan Colbert,0
Jerome Baker,0
Jay Ward,0
Cameron Williams,0
Germaine Pratt,0
Tory Horton,0
Cory Durden,0
Terrell Burgess,0
James Hudson III,0
Jeremy Ruckert,0
Rejzohn Wright,0
Zach Ertz,0
Jordan Morgan,0
Russell Gage,0
Jayden Reed,0
Xavier Worthy,0
Elijah Wilkinson,0
Jonah Williams,0
Quinnen Williams,0
Tommy DeVito,0
Justin Fields,0
DJ Giddens,0
Taylor Moton,0
Mason McCormick,0
Olamide Zaccheaus,0
Walter Rouse,0
Andrei Iosivas,0
Poona Ford,0
Jahdae Barron,0
Ed Ingram,0
Braden Mann,0
Jordan Mason,0
Jamien Sherwood,0
Brock Bowers,0
Joe Thuney,0
Quincy Riley,0
Will Harris,0
Craig Reynolds,0
Shemar James,0
Bryce Cabeldue,0
Jalen Pitre,0
John Simpson,0
Cam Sample,0
Carrington Valentine,0
Case Keenum,0
Vita Vea,0
Yasir Abdullah,0
Wyatt Milum,0
Shaq Griffin,0
Tershawn Wharton,0
Jeffery Simmons,0
Nick Moore,0
Keion White,0
Noah Gray,0
Devin Bush,0
David Moore,0
Cam Jurgens,0
Trey Lance,0
Khalil Mack,0
RJ Harvey,0
Noah Brown,0
Kyler Gordon,0
