Player,Value
Lamar Jackson,136.6
Justin Herbert,127.8
Jared Goff,125.1
Jordan Love,120.0
Mac Jones,113.1
Daniel Jones,111.1
Josh Allen,108.8
Matthew Stafford,107.1
Kyler Murray,101.1
Drake Maye,100.9
Baker Mayfield,98.6
Aaron Rodgers,97.8
Russell Wilson,92.8
Brock Purdy,92.2
Justin Fields,91.1
Joe Burrow,91.1
Jayden Daniels,90.8
Spencer Rattler,90.7
Caleb Williams,89.1
Michael Penix Jr.,88.9
Sam Darnold,88.8
Dak Prescott,88.8
Jalen Hurts,88.5
Tua Tagovailoa,87.1
C.J. Stroud,85.0
Patrick Mahomes,82.0
Bo Nix,82.0
Trevor Lawrence,77.9
Bryce Young,74.4
Joe Flacco,70.1
Jake Browning,69.9
Cam Ward,69.5
J.J. McCarthy,67.2
Geno Smith,66.0
