Player,Value
Malik Nabers,238
Jaxon Smith-Njigba,227
CeeDee Lamb,222
Puka Nacua,221
Zay Flowers,218
Tyreek Hill,198
Wan'Dale Robinson,197
Ja'Marr Chase,191
Tetairoa McMillan,168
Jakobi Meyers,165
Rome Odunze,165
Ricky Pearsall,164
Amon-Ra St. Brown,160
Keon Coleman,158
Davante Adams,157
Tyler Warren,155
Dalton Kincaid,151
Quentin Johnston,150
Garrett Wilson,145
Brock Bowers,141
De'Von Achane,141
Tucker Kraft,140
Trey McBride,139
Jaylen Waddle,137
Troy Franklin,133
Jameson Williams,131
Keenan Allen,129
Hollywood Brown,129
Justin Jefferson,125
Juwan Johnson,125
Bijan Robinson,125
Christian McCaffrey,125
Ladd McConkey,122
Khalil Shakir,121
Deebo Samuel,121
Michael Pittman Jr.,120
Kayshon Boutte,119
Jerry Jeudy,117
DJ Moore,114
Joshua Palmer,113
Harold Fannin Jr.,111
Dyami Brown,109
Jaylen Warren,108
Chris Olave,108
Travis Kelce,108
Mike Evans,107
Sam LaPorta,105
Cooper Kupp,105
Jauan Jennings,105
Drake London,104
Alec Pierce,104
DK Metcalf,103
Jake Ferguson,101
Tyquan Thornton,100
Rhamondre Stevenson,100
DeAndre Hopkins,99
Marvin Harrison Jr.,98
George Pickens,98
Romeo Doubs,96
Kyle Pitts,96
Emeka Egbuka,96
Calvin Austin III,92
Zach Ertz,90
Stefon Diggs,89
Tee Higgins,89
Rashid Shaheed,85
Calvin Ridley,84
Ja'Tavion Sanders,81
Nico Collins,77
David Njoku,77
Dylan Sampson,77
Jonathan Taylor,77
Parker Washington,76
Brenton Strange,76
Hunter Henry,75
Terry McLaurin,75
Dontayvion Wicks,74
Cedric Tillman,74
Sterling Shepard,73
Chuba Hubbard,71
James Cook,71
DeVonta Smith,69
Elic Ayomanor,69
Courtland Sutton,67
Tre Tucker,66
Dont'e Thornton Jr.,65
KaVontae Turpin,65
Elijah Moore,64
Josh Downs,63
Jahan Dotson,63
Darius Slayton,61
Brian Thomas Jr.,60
JuJu Smith-Schuster,60
Jayden Higgins,60
Cole Kmet,60
Hunter Renfrow,59
Jalen Nailor,59
Xavier Hutchinson,59
Pat Freiermuth,59
Bucky Irving,58
