Player,Value
James Cook,53
Jonathan Taylor,43
Josh Jacobs,42
Saquon Barkley,40
Tony Pollard,38
Chase Brown,37
Christian McCaffrey,35
Kyren Williams,35
Bijan Robinson,34
Javonte Williams,33
Alvin Kamara,32
Bucky Irving,31
De'Von Achane,30
Ashton Jeanty,30
J.K. Dobbins,30
Travis Etienne Jr.,30
D'Andre Swift,29
Breece Hall,29
Derrick Henry,29
Zach Charbonnet,27
Chuba Hubbard,26
Tyler Allgeier,26
Jaylen Warren,25
Nick Chubb,25
Jordan Mason,24
Josh Allen,24
Omarion Hampton,23
Kenneth Walker III,23
Jalen Hurts,23
James Conner,23
David Montgomery,22
Jahmyr Gibbs,21
Jayden Daniels,18
Rhamondre Stevenson,18
Justin Fields,17
Justin Herbert,16
Dylan Sampson,16
Brian Robinson Jr.,15
Tyrone Tracy Jr.,15
Isiah Pacheco,15
Jacory Croskey-Merritt,14
Austin Ekeler,14
Drake Maye,14
Kyler Murray,14
Daniel Jones,13
Cam Skattebo,13
Kareem Hunt,13
Aaron Jones,13
Patrick Mahomes,13
DJ Giddens,12
Ollie Gordon II,12
Jerome Ford,12
Rachaad White,12
Kenneth Gainwell,12
Trey Benson,11
Caleb Williams,11
RJ Harvey,11
Russell Wilson,11
Bo Nix,11
Bhayshul Tuten,11
Quinshon Judkins,10
Kendre Miller,10
Ray Davis,10
Miles Sanders,9
Najee Harris,9
C.J. Stroud,9
Rico Dowdle,9
Baker Mayfield,8
Braelon Allen,8
Spencer Rattler,8
Lamar Jackson,8
TreVeyon Henderson,8
Bryce Young,7
Geno Smith,7
Michael Penix Jr.,7
J.J. McCarthy,7
Ty Johnson,7
Kyle Monangai,7
Antonio Gibson,6
Blake Corum,6
Jordan Love,6
Mac Jones,6
Malik Washington,6
Trevor Lawrence,6
Matthew Stafford,6
A.J. Dillon,6
Woody Marks,6
Tank Bigsby,5
Zamir White,5
Justice Hill,5
Brock Purdy,5
KaVontae Turpin,4
Cam Ward,4
Devin Singletary,4
Elijah Moore,4
Jeremy McNichols,4
Dak Prescott,4
Mitchell Trubisky,3
Chimere Dike,3
Will Shipley,3
