Player,Value
James Cook,355
Jonathan Taylor,313
Bijan Robinson,292
De'Von Achane,288
Puka Nacua,267
Christian McCaffrey,249
Travis Etienne Jr.,245
Malik Nabers,238
Zay Flowers,230
Jaxon Smith-Njigba,227
CeeDee Lamb,222
Derrick Henry,205
Tyreek Hill,198
Wan'Dale Robinson,197
Javonte Williams,194
Jaylen Warren,193
Ja'Marr Chase,191
Breece Hall,183
Tony Pollard,181
Saquon Barkley,178
Alvin Kamara,177
Rhamondre Stevenson,169
Tetairoa McMillan,168
Amon-Ra St. Brown,167
Chuba Hubbard,166
Bucky Irving,166
Rome Odunze,165
Jakobi Meyers,165
Ricky Pearsall,160
Keon Coleman,158
Tyler Warren,158
Davante Adams,157
Josh Jacobs,154
Jahmyr Gibbs,154
J.K. Dobbins,153
Dalton Kincaid,151
Kyren Williams,149
Quentin Johnston,148
Garrett Wilson,145
Troy Franklin,144
Tucker Kraft,143
Kenneth Walker III,142
Brock Bowers,141
Deebo Samuel,140
Trey McBride,139
Jaylen Waddle,137
D'Andre Swift,134
Jameson Williams,134
Nick Chubb,132
Keenan Allen,129
Hollywood Brown,129
Justin Jefferson,129
Juwan Johnson,125
Dyami Brown,124
Patrick Mahomes,123
Ladd McConkey,122
DJ Moore,122
Khalil Shakir,121
Michael Pittman Jr.,120
Kayshon Boutte,119
Trey Benson,119
Jerry Jeudy,117
Chase Brown,116
Harold Fannin Jr.,114
Josh Allen,114
Jordan Mason,113
Joshua Palmer,113
Dylan Sampson,112
Travis Kelce,108
Chris Olave,108
Mike Evans,107
Sam LaPorta,105
Cooper Kupp,105
Emeka Egbuka,105
Jauan Jennings,105
Tyler Allgeier,104
David Montgomery,104
Drake London,104
Alec Pierce,104
DK Metcalf,103
Jake Ferguson,101
Tyquan Thornton,100
Jacory Croskey-Merritt,99
DeAndre Hopkins,99
George Pickens,98
Marvin Harrison Jr.,98
Justin Fields,97
Romeo Doubs,96
James Conner,96
Kyle Pitts,96
RJ Harvey,93
Calvin Austin III,92
TreVeyon Henderson,91
Zach Ertz,90
Aaron Jones,90
Tee Higgins,89
Stefon Diggs,89
Elijah Moore,89
Omarion Hampton,86
Tyrone Tracy Jr.,86
