Player,Value
James Cook,4
Daniel Jones,3
Javonte Williams,3
Jalen Hurts,3
Justin Fields,2
J.K. Dobbins,2
Saquon Barkley,2
Josh Allen,2
Derrick Henry,2
Patrick Mahomes,2
Josh Jacobs,2
Miles Sanders,1
Brian Thomas Jr.,1
Jacory Croskey-Merritt,1
Tyler Allgeier,1
Kenneth Walker III,1
Alvin Kamara,1
Drake Maye,1
Deebo Samuel,1
Blake Corum,1
Jake Browning,1
J.J. McCarthy,1
Puka Nacua,1
Elijah Moore,1
Chase Brown,1
Kyren Williams,1
D'Andre Swift,1
Michael Penix Jr.,1
Lamar Jackson,1
Cam Skattebo,1
Jahmyr Gibbs,1
Braelon Allen,1
Rachaad White,1
David Montgomery,1
Zach Charbonnet,1
Caleb Williams,1
Ashton Jeanty,1
Nick Chubb,1
Raheim Sanders,1
Ollie Gordon II,1
James Conner,1
Taron Johnson,0
Rex Sunahara,0
Jamari Thrash,0
Case Keenum,0
Walter Rouse,0
Smael Mondon Jr.,0
Benito Jones,0
Davis Mills,0
Jared Ivey,0
Shaq Griffin,0
Isaiah Adams,0
Jamien Sherwood,0
Craig Reynolds,0
Cody Simon,0
Logan Wilson,0
Calvin Austin III,0
Wanya Morris,0
Jack Conklin,0
Carson Schwesinger,0
Tyrice Knight,0
Germaine Pratt,0
Jordan Colbert,0
Yasir Abdullah,0
Arden Key,0
Malcolm Koonce,0
Swayze Bozeman,0
Zach Ertz,0
Emeka Egbuka,0
Luke Fortner,0
Joey Blount,0
Jaylin Lane,0
Elijah Wilkinson,0
Jonah Savaiinaea,0
Teagan Quitoriano,0
Luke Gifford,0
Devaughn Vele,0
Jay Ward,0
Aireontae Ersery,0
Cam Lewis,0
Tank Bigsby,0
Taylor Moton,0
PJ Jules,0
Poona Ford,0
Jeremy Ruckert,0
Jayden Reed,0
Justin Reid,0
Joe Thuney,0
Jonas Sanker,0
Rashid Shaheed,0
Theo Johnson,0
DK Metcalf,0
Nolan Smith Jr.,0
Josh Johnson,0
Zach Harrison,0
Javon Bullard,0
Tate Ratledge,0
Deatrich Wise,0
Azareye'h Thomas,0
Christian Barmore,0
