Player,Value
James Cook,284
Jonathan Taylor,236
Travis Etienne Jr.,214
Derrick Henry,192
Bijan Robinson,167
Tony Pollard,152
Javonte Williams,151
Josh Jacobs,150
Saquon Barkley,148
De'Von Achane,147
Alvin Kamara,144
J.K. Dobbins,139
Breece Hall,136
Kyren Williams,132
Kenneth Walker III,125
Christian McCaffrey,124
Patrick Mahomes,123
D'Andre Swift,116
Josh Allen,114
Jahmyr Gibbs,113
Bucky Irving,108
Nick Chubb,103
Tyler Allgeier,100
Jacory Croskey-Merritt,99
Jordan Mason,98
Justin Fields,97
Chuba Hubbard,95
Chase Brown,90
Jayden Daniels,85
Caleb Williams,85
Jaylen Warren,85
Lamar Jackson,83
Trey Benson,83
David Montgomery,82
Ashton Jeanty,81
Rachaad White,79
RJ Harvey,78
Jalen Hurts,77
James Conner,73
Baker Mayfield,72
Omarion Hampton,72
Kyler Murray,70
Rhamondre Stevenson,69
Miles Sanders,68
Russell Wilson,67
Justin Herbert,63
Quinshon Judkins,61
C.J. Stroud,59
Zach Charbonnet,57
Bhayshul Tuten,53
Brian Robinson Jr.,53
Malik Washington,52
J.J. McCarthy,50
Ollie Gordon II,50
Kareem Hunt,47
Isiah Pacheco,47
Aaron Jones,46
Blake Corum,46
Puka Nacua,46
Austin Ekeler,43
Ty Johnson,43
Spencer Rattler,43
Bryce Young,42
Cam Skattebo,42
Drake Maye,42
DJ Giddens,41
Tyrone Tracy Jr.,39
Jerome Ford,39
Kenneth Gainwell,39
Bo Nix,38
TreVeyon Henderson,37
Dylan Sampson,35
Najee Harris,33
Kendre Miller,32
Antonio Gibson,30
Geno Smith,30
A.J. Dillon,29
Kyle Monangai,28
Daniel Jones,28
Will Shipley,26
Ray Davis,26
Elijah Moore,25
Jeremy McNichols,25
Savion Williams,24
Tyrod Taylor,21
Rico Dowdle,21
Braelon Allen,20
LeQuint Allen,20
Dak Prescott,20
Michael Penix Jr.,20
Deebo Samuel,19
Isaiah Davis,18
Chimere Dike,18
Tua Tagovailoa,17
Brock Purdy,17
Woody Marks,17
Trevor Lawrence,16
Jordan Love,16
Matthew Golden,15
Dyami Brown,15
